0.0,0.5109,0.5455
1.0,0.6274,0.5506
2.0,0.6082,0.5608
3.0,0.5262,0.5647
4.0,0.6197,0.6018
5.0,0.598,0.5928
6.0,0.6325,0.5992
7.0,0.6274,0.6044
8.0,0.6466,0.5941
9.0,0.6056,0.6159
10.0,0.6428,0.6248
11.0,0.6248,0.58
12.0,0.6248,0.5813
13.0,0.6223,0.589
14.0,0.6415,0.5787
15.0,0.6312,0.5992
16.0,0.6466,0.6095
17.0,0.6184,0.6044
18.0,0.6287,0.6248
19.0,0.6044,0.598
20.0,0.598,0.58
21.0,0.6325,0.5928
22.0,0.6095,0.5864
23.0,0.6159,0.5941
24.0,0.6172,0.5992
25.0,0.6108,0.5839
26.0,0.621,0.5928
27.0,0.6172,0.5877
28.0,0.6056,0.5864
29.0,0.6159,0.58
30.0,0.6197,0.5915
31.0,0.6389,0.5672
32.0,0.6312,0.6005
33.0,0.6261,0.5915
34.0,0.6351,0.5954
35.0,0.6287,0.5967
36.0,0.6389,0.5903
37.0,0.6389,0.6031
38.0,0.6389,0.589
39.0,0.6402,0.5903
40.0,0.6351,0.5839
41.0,0.6287,0.6005
42.0,0.6248,0.6069
43.0,0.6223,0.6056
44.0,0.6172,0.5839
45.0,0.6236,0.5903
46.0,0.6543,0.5915
47.0,0.6172,0.6005
48.0,0.6133,0.5941
49.0,0.6236,0.598
50.0,0.6172,0.5877
51.0,0.6325,0.6108
52.0,0.6325,0.6133
53.0,0.6274,0.6159
54.0,0.63,0.6159
55.0,0.6133,0.6159
56.0,0.621,0.6082
57.0,0.63,0.6172
58.0,0.6312,0.6133
59.0,0.6248,0.6172
60.0,0.6261,0.6095
61.0,0.6274,0.6133
62.0,0.6248,0.6108
63.0,0.6261,0.6069
64.0,0.6248,0.6095
65.0,0.6236,0.6108
66.0,0.6261,0.6146
67.0,0.621,0.6069
68.0,0.6184,0.6082
69.0,0.6312,0.6159
70.0,0.6325,0.6108
71.0,0.6325,0.6108
72.0,0.6261,0.6133
73.0,0.6351,0.6056
74.0,0.6338,0.6044
75.0,0.6325,0.6069
76.0,0.6274,0.6146
77.0,0.6287,0.6146
78.0,0.6287,0.6082
79.0,0.6236,0.6056
80.0,0.6351,0.6031
81.0,0.63,0.612
82.0,0.6364,0.612
83.0,0.6338,0.6108
84.0,0.6338,0.6108
85.0,0.63,0.6056
86.0,0.6312,0.6069
87.0,0.6402,0.6095
88.0,0.6364,0.6031
89.0,0.6389,0.6159
90.0,0.6453,0.6095
91.0,0.6325,0.612
92.0,0.6479,0.6069
93.0,0.6415,0.6133
94.0,0.6364,0.6005
95.0,0.6287,0.6018
96.0,0.6351,0.612
97.0,0.6415,0.6082
98.0,0.6428,0.612
99.0,0.6376,0.6056
