Image_Name,Fidelity_Score
005567_6_white.jpg,0.03543755505653934
005761_5_east asian.jpg,0.03545771083754734
005773_5_east asian.jpg,0.03568198969903413
006270_5_east asian.jpg,0.03572609795723847
000233_0_black.jpg,0.03669935833316562
005461_0_black.jpg,0.036782704591957316
008652_6_white.jpg,0.037199837401881375
007641_2_latino.jpg,0.038102827423448726
005781_0_black.jpg,0.038105475979042014
006837_0_black.jpg,0.038179255892425656
006445_4_southeast asian.jpg,0.03830001935268412
003866_5_east asian.jpg,0.03845470862537592
005732_0_black.jpg,0.03885571469222704
007354_1_indian.jpg,0.03932148031048244
006177_6_white.jpg,0.03951171798134556
001441_6_white.jpg,0.04006573389761536
004858_5_east asian.jpg,0.040727909635461135
003311_6_white.jpg,0.04107246552937571
005146_2_latino.jpg,0.04149901312191728
002020_3_middle eastern.jpg,0.04258023436249947
003383_2_latino.jpg,0.0427175913209179
004312_0_black.jpg,0.04354796047255238
009012_0_black.jpg,0.04366135587550968
004144_6_white.jpg,0.04369553341516186
004589_5_east asian.jpg,0.04438970092286065
002554_5_east asian.jpg,0.044407963477524515
003383_6_white.jpg,0.04495355099118026
002554_2_latino.jpg,0.04566748199596038
004794_0_black.jpg,0.04567779687306728
008652_1_indian.jpg,0.04582485096601996
005581_2_latino.jpg,0.0489536610640402
006177_2_latino.jpg,0.04942281873171117
000607_0_black.jpg,0.04948769826036448
001025_1_indian.jpg,0.04953919924766792
004454_5_east asian.jpg,0.04957412106802983
001395_4_southeast asian.jpg,0.04985655822440749
007339_5_east asian.jpg,0.04999083979806085
004714_5_east asian.jpg,0.05002373360307488
007494_0_black.jpg,0.0503846763890603
004714_4_southeast asian.jpg,0.05041822782892469
008989_6_white.jpg,0.050538079657729496
007641_1_indian.jpg,0.050556663472315355
001025_6_white.jpg,0.051179153886138806
008080_3_middle eastern.jpg,0.05138645362822514
007641_0_black.jpg,0.0517714313481632
006284_5_east asian.jpg,0.051921335325767703
001441_1_indian.jpg,0.05279283814940583
005196_0_black.jpg,0.053742419570713906
008080_5_east asian.jpg,0.054050611533091875
001008_4_southeast asian.jpg,0.05516001790641001
003179_2_latino.jpg,0.05566522550490527
004312_6_white.jpg,0.05628112176543221
007641_4_southeast asian.jpg,0.057126390422753026
002554_4_southeast asian.jpg,0.05725582928145312
004562_2_latino.jpg,0.0573461061146896
005766_0_black.jpg,0.05736583470829815
006851_5_east asian.jpg,0.05793634539855219
003257_0_black.jpg,0.058683533244865194
005359_2_latino.jpg,0.05924237387011444
003034_6_white.jpg,0.059430917669740735
005766_1_indian.jpg,0.05965651824241269
004144_5_east asian.jpg,0.060049251910261336
009089_5_east asian.jpg,0.060876687364407545
006152_5_east asian.jpg,0.06098895157639239
003034_0_black.jpg,0.061224658839070356
005115_1_indian.jpg,0.061626842822698036
006569_4_southeast asian.jpg,0.061765272186316444
002544_5_east asian.jpg,0.062042514666472925
005146_6_white.jpg,0.0623692151531654
004312_3_middle eastern.jpg,0.06297845064347873
001038_3_middle eastern.jpg,0.06309932839435328
009274_6_white.jpg,0.06334053910203452
001008_6_white.jpg,0.06386483775130669
009793_2_latino.jpg,0.0642961714353314
008518_4_southeast asian.jpg,0.06497268720675953
005461_1_indian.jpg,0.06597977230162555
009089_0_black.jpg,0.06601205600288695
006201_6_white.jpg,0.06616659846001305
008945_4_southeast asian.jpg,0.06645079498294915
007354_4_southeast asian.jpg,0.06669483270815091
001441_5_east asian.jpg,0.06734451759240123
006177_5_east asian.jpg,0.06876644055165992
005146_5_east asian.jpg,0.06901188440694317
002647_0_black.jpg,0.06944698415094952
005196_6_white.jpg,0.06967484252194
001326_0_black.jpg,0.06996492792882525
009474_3_middle eastern.jpg,0.07007470532649118
006152_0_black.jpg,0.07046217975746605
009089_3_middle eastern.jpg,0.07091852575144975
009617_5_east asian.jpg,0.07100491264217101
005180_3_middle eastern.jpg,0.07133260479734127
002012_5_east asian.jpg,0.07150752677673466
002647_6_white.jpg,0.07159384708035832
008945_5_east asian.jpg,0.0717920219456265
001971_0_black.jpg,0.07186337616037797
005115_3_middle eastern.jpg,0.07238400736977857
005359_5_east asian.jpg,0.0725402508152384
006569_6_white.jpg,0.07256038996195469
005781_3_middle eastern.jpg,0.07286052836410994
001335_0_black.jpg,0.07322235479040673
006359_2_latino.jpg,0.07357902417479112
001778_6_white.jpg,0.07393628728559021
007240_1_indian.jpg,0.07399305144793278
000962_4_southeast asian.jpg,0.07414119125320662
005781_2_latino.jpg,0.07482928775239994
007354_5_east asian.jpg,0.07508435513982903
007360_1_indian.jpg,0.07575940495597044
002557_6_white.jpg,0.07618336041744578
005297_4_southeast asian.jpg,0.07683847192524906
008518_0_black.jpg,0.07788488392370474
000133_6_white.jpg,0.0779294395009813
009977_0_black.jpg,0.0784050267888341
009283_2_latino.jpg,0.07840808743019911
009793_4_southeast asian.jpg,0.07847578152808454
002647_2_latino.jpg,0.0786003766627632
009802_6_white.jpg,0.07931558606690392
007358_5_east asian.jpg,0.07934161745462531
001395_0_black.jpg,0.07973373852122778
005781_4_southeast asian.jpg,0.08000550456494415
005461_3_middle eastern.jpg,0.08027406574094909
007360_4_southeast asian.jpg,0.08062264784701156
004372_5_east asian.jpg,0.08122301198526061
001025_3_middle eastern.jpg,0.08123615197261791
004076_2_latino.jpg,0.08126217528143065
004188_5_east asian.jpg,0.08137310122932218
005461_2_latino.jpg,0.08139538880732422
006177_1_indian.jpg,0.08154048057745689
004589_4_southeast asian.jpg,0.08238723896201439
008652_2_latino.jpg,0.08256355885313504
004454_4_southeast asian.jpg,0.0826516551970955
005115_2_latino.jpg,0.08296896989976021
007354_0_black.jpg,0.08305873250305607
000115_0_black.jpg,0.08346341944774038
003582_0_black.jpg,0.08358664069998833
008761_0_black.jpg,0.08374674263121396
005196_2_latino.jpg,0.08395314246134888
006135_4_southeast asian.jpg,0.08410782910546732
004589_0_black.jpg,0.0841520780913958
005599_0_black.jpg,0.08427959538066743
005086_0_black.jpg,0.0846695574306775
002030_4_southeast asian.jpg,0.08489380567958604
007311_4_southeast asian.jpg,0.08495127425899263
005601_0_black.jpg,0.08510538233482778
003600_5_east asian.jpg,0.08513231581918523
004510_4_southeast asian.jpg,0.0851645155191103
009617_4_southeast asian.jpg,0.08544193839069592
000325_0_black.jpg,0.08550881927676857
000498_5_east asian.jpg,0.08691006293269954
004416_0_black.jpg,0.08694031048418371
007240_2_latino.jpg,0.08711968266156123
005114_1_indian.jpg,0.08730659085996995
004076_3_middle eastern.jpg,0.08739920963505377
001233_1_indian.jpg,0.08804455139285627
008652_3_middle eastern.jpg,0.08814356509031374
007005_5_east asian.jpg,0.08822844244439265
007360_6_white.jpg,0.08868465472202391
009283_0_black.jpg,0.08869839393572909
002524_5_east asian.jpg,0.08872821796639196
009012_1_indian.jpg,0.08877641310594453
004144_3_middle eastern.jpg,0.08895377552262462
000248_0_black.jpg,0.08896065465815872
007641_6_white.jpg,0.08947401325496385
004416_2_latino.jpg,0.08975994633634943
005681_1_indian.jpg,0.08996256200325603
000338_5_east asian.jpg,0.09053628394715796
007186_0_black.jpg,0.09068079128840734
006284_4_southeast asian.jpg,0.09125617179308043
006546_3_middle eastern.jpg,0.09149928853892653
006284_3_middle eastern.jpg,0.09189245473985186
008647_3_middle eastern.jpg,0.09195223540372433
003311_0_black.jpg,0.09232902842119572
008518_5_east asian.jpg,0.09239500929821065
003536_1_indian.jpg,0.09265721099228452
003123_5_east asian.jpg,0.09322084888157911
001595_4_southeast asian.jpg,0.09328288952604513
