0.0,0.0483,0.0221,0.0577
1.0,0.0253,0.0333,0.0655
2.0,0.0756,0.0703,0.05
3.0,0.0762,0.0532,0.0603
4.0,0.0685,0.0528,0.0392
5.0,0.0812,0.0458,0.0452
6.0,0.0666,0.0556,0.0376
7.0,0.0835,0.0543,0.0576
8.0,0.0723,0.0512,0.0314
9.0,0.0832,0.0641,0.0488
10.0,0.0971,0.063,0.0578
11.0,0.0794,0.0566,0.0556
12.0,0.0827,0.0583,0.0527
13.0,0.0813,0.0667,0.0603
14.0,0.0769,0.0748,0.0472
15.0,0.0868,0.0683,0.0494
16.0,0.0801,0.0612,0.0508
17.0,0.0871,0.0643,0.0482
18.0,0.0921,0.0647,0.0439
19.0,0.0914,0.0644,0.0538
20.0,0.0914,0.0651,0.0548
21.0,0.0888,0.0647,0.0586
22.0,0.087,0.0677,0.0543
23.0,0.0871,0.0675,0.0525
24.0,0.0857,0.0638,0.0543
25.0,0.0686,0.0569,0.0517
26.0,0.0774,0.0637,0.0554
27.0,0.0773,0.0523,0.0537
28.0,0.0868,0.0578,0.0569
29.0,0.0861,0.0642,0.0502
30.0,0.0891,0.0651,0.0506
31.0,0.0816,0.0584,0.0544
32.0,0.0878,0.0568,0.0517
33.0,0.0792,0.0566,0.0536
34.0,0.0844,0.0595,0.0564
35.0,0.0807,0.0569,0.0548
36.0,0.0868,0.0608,0.0508
37.0,0.0875,0.0607,0.0562
38.0,0.0891,0.0612,0.0526
39.0,0.0844,0.0636,0.0546
40.0,0.0854,0.0606,0.0516
41.0,0.0861,0.0575,0.0534
42.0,0.0867,0.066,0.0522
43.0,0.098,0.0619,0.0533
44.0,0.0913,0.063,0.0579
45.0,0.0948,0.0662,0.0564
46.0,0.0891,0.0634,0.0513
47.0,0.0987,0.0606,0.0558
48.0,0.0997,0.0607,0.0546
49.0,0.0952,0.0611,0.0522
50.0,0.0907,0.0608,0.0534
51.0,0.098,0.0667,0.0492
52.0,0.0982,0.0654,0.0431
53.0,0.1006,0.0661,0.0435
54.0,0.1038,0.0632,0.0462
55.0,0.0982,0.0587,0.0472
56.0,0.1027,0.06,0.0472
57.0,0.0913,0.0601,0.0512
58.0,0.0914,0.06,0.0578
59.0,0.094,0.0582,0.0554
60.0,0.0918,0.0561,0.0531
61.0,0.0872,0.0607,0.0527
62.0,0.0949,0.0592,0.0525
63.0,0.0895,0.0611,0.0526
64.0,0.0931,0.0517,0.0475
65.0,0.0948,0.0574,0.0572
66.0,0.0944,0.0584,0.0555
67.0,0.0917,0.0536,0.0504
68.0,0.0887,0.0604,0.0583
69.0,0.0943,0.0601,0.0604
70.0,0.0953,0.0575,0.0583
71.0,0.0929,0.0567,0.0595
72.0,0.0965,0.0551,0.0573
73.0,0.0941,0.0523,0.0603
74.0,0.0917,0.0524,0.0547
75.0,0.0917,0.0519,0.057
76.0,0.0911,0.0539,0.0519
77.0,0.0923,0.055,0.0503
78.0,0.0805,0.0537,0.0558
79.0,0.0852,0.0558,0.0584
80.0,0.088,0.055,0.0641
81.0,0.092,0.0567,0.061
82.0,0.0875,0.0556,0.0619
83.0,0.0883,0.0556,0.0626
84.0,0.0914,0.0564,0.0631
85.0,0.0909,0.0573,0.064
86.0,0.0859,0.0585,0.0616
87.0,0.086,0.0581,0.0632
88.0,0.093,0.0601,0.0636
89.0,0.0912,0.0577,0.0618
90.0,0.0859,0.0549,0.0643
91.0,0.0913,0.0523,0.0613
92.0,0.0903,0.0505,0.0596
93.0,0.0935,0.0553,0.0624
94.0,0.0963,0.0541,0.061
95.0,0.092,0.058,0.0591
96.0,0.0932,0.0558,0.0609
97.0,0.0941,0.0567,0.0617
98.0,0.0945,0.0574,0.0589
99.0,0.0902,0.0593,0.0644
