0.0,0.8027,0.8433
1.0,0.824,0.8404
2.0,0.8375,0.8636
3.0,0.8269,0.8433
4.0,0.823,0.8366
5.0,0.8288,0.8462
6.0,0.8124,0.854
7.0,0.8404,0.8172
8.0,0.8443,0.8482
9.0,0.8317,0.8433
10.0,0.8501,0.8501
11.0,0.8453,0.853
12.0,0.8491,0.8501
13.0,0.852,0.8279
14.0,0.8414,0.8308
15.0,0.8279,0.8337
16.0,0.8385,0.8298
17.0,0.8385,0.8385
18.0,0.8375,0.8453
19.0,0.8366,0.8433
20.0,0.8366,0.8491
21.0,0.8511,0.8424
22.0,0.8569,0.8482
23.0,0.8617,0.8443
24.0,0.8578,0.8395
25.0,0.854,0.8433
26.0,0.8627,0.8443
27.0,0.8588,0.8404
28.0,0.8617,0.8395
29.0,0.8366,0.8414
30.0,0.8385,0.8395
31.0,0.8443,0.8027
32.0,0.8501,0.8607
33.0,0.8511,0.8617
34.0,0.8511,0.853
35.0,0.853,0.8569
36.0,0.8482,0.8665
37.0,0.8491,0.8646
38.0,0.852,0.8501
39.0,0.854,0.8549
40.0,0.8424,0.8636
41.0,0.853,0.8588
42.0,0.853,0.8607
43.0,0.8569,0.8433
44.0,0.8462,0.853
45.0,0.8491,0.852
46.0,0.8501,0.8511
47.0,0.8472,0.853
48.0,0.853,0.8491
49.0,0.8559,0.8482
50.0,0.852,0.8327
51.0,0.8559,0.8462
52.0,0.8559,0.8598
53.0,0.8559,0.853
54.0,0.8559,0.8501
55.0,0.8559,0.8511
56.0,0.8588,0.8569
57.0,0.8569,0.8482
58.0,0.8501,0.8482
59.0,0.8356,0.8598
60.0,0.8511,0.853
61.0,0.8549,0.8569
62.0,0.853,0.8501
63.0,0.8549,0.852
64.0,0.8559,0.8491
65.0,0.8588,0.8569
66.0,0.8607,0.8433
67.0,0.8578,0.8472
68.0,0.8578,0.8598
69.0,0.8549,0.8617
70.0,0.8559,0.8588
71.0,0.8559,0.8569
72.0,0.8578,0.8569
73.0,0.8569,0.8501
74.0,0.8578,0.853
75.0,0.8559,0.8598
76.0,0.8559,0.8559
77.0,0.8559,0.8569
78.0,0.8559,0.8559
79.0,0.8549,0.8491
80.0,0.8559,0.8482
81.0,0.854,0.8588
82.0,0.8578,0.8511
83.0,0.853,0.853
84.0,0.853,0.852
85.0,0.854,0.8569
86.0,0.854,0.8462
87.0,0.8598,0.8559
88.0,0.8559,0.8559
89.0,0.8549,0.8559
90.0,0.854,0.8569
91.0,0.8549,0.8578
92.0,0.8549,0.8491
93.0,0.8578,0.8578
94.0,0.8578,0.8453
95.0,0.8491,0.854
96.0,0.8549,0.854
97.0,0.8549,0.8569
98.0,0.8549,0.8395
99.0,0.8549,0.8453
