face_name_align,race,race4,gender,age,race_scores_fair,race_scores_fair_4,gender_scores_fair,age_scores_fair
detected_faces/img_000239_0_face2.png,Latino_Hispanic,Asian,Female,30-39,"[0.30885336 0.00097709 0.4205455  0.06851483 0.19132103 0.00451047
 0.00527778]",[0.32168463 0.00340025 0.6581797  0.01673548],[5.7299826e-06 9.9999422e-01],"[7.5012110e-08 1.6808870e-06 1.0413394e-03 2.2748876e-01 6.9536757e-01
 7.3673718e-02 2.3948711e-03 3.1805961e-05 1.2054595e-07]"
detected_faces/img_000239_0_face1.png,Black,Black,Female,20-29,"[1.0287074e-02 9.2040730e-01 3.3448711e-02 5.5203764e-03 2.7403690e-02
 2.8936598e-03 3.9223421e-05]",[3.8691869e-03 9.4725436e-01 4.8216343e-02 6.6004437e-04],[9.303385e-06 9.999907e-01],"[7.6942165e-08 3.8142844e-05 1.1603074e-02 7.6210976e-01 2.2434713e-01
 1.8819646e-03 1.9683373e-05 1.2616150e-07 1.4096346e-09]"
detected_faces/img_000239_0_face3.png,White,White,Female,30-39,"[9.9864352e-01 4.2588829e-07 9.0294977e-04 9.6031135e-06 1.5561272e-05
 4.4351395e-06 4.2354525e-04]",[9.9624056e-01 2.1734431e-05 3.6714694e-03 6.6181106e-05],[3.2540615e-06 9.9999678e-01],"[2.2512745e-08 1.5995809e-06 1.1764497e-03 2.0526242e-01 6.7189735e-01
 1.1414562e-01 7.4279122e-03 8.7832137e-05 8.3680868e-07]"
detected_faces/img_000239_0_face0.png,East Asian,Asian,Female,20-29,"[2.4182763e-04 8.5558747e-07 2.3618701e-04 8.6231083e-01 1.3716112e-01
 4.2039908e-05 7.1494273e-06]",[5.7847290e-05 2.2803999e-06 9.9989772e-01 4.2206844e-05],[4.3705179e-04 9.9956298e-01],"[6.6861372e-07 4.0222403e-05 1.1995769e-02 5.2405804e-01 4.1960177e-01
 4.3057747e-02 1.1693303e-03 7.5097596e-05 1.3236330e-06]"
detected_faces/img_000239_0_face4.png,Indian,Indian,Female,30-39,"[0.00504021 0.01860658 0.16054301 0.00139864 0.04642259 0.767062
 0.00092695]",[0.00110471 0.00787152 0.00969469 0.9813291 ],[0.00119221 0.9988077 ],"[4.1552511e-07 2.1730970e-05 8.7268958e-03 4.1855332e-01 4.7369879e-01
 9.0667501e-02 8.1140827e-03 2.1168533e-04 5.5622049e-06]"
detected_faces/img_000239_0_face5.png,White,White,Female,40-49,"[8.1725597e-01 2.1656168e-05 1.5057215e-01 2.7990486e-03 7.8976769e-03
 9.4178563e-04 2.0511605e-02]",[9.4569790e-01 1.4402717e-04 5.0269380e-02 3.8887605e-03],[6.7601584e-05 9.9993241e-01],"[2.4705307e-07 3.1128188e-06 3.6032085e-04 1.8691318e-02 2.7302605e-01
 5.0010830e-01 1.9549614e-01 1.2121053e-02 1.9351789e-04]"
